,user_id,burnout,confidence,depression,discipline,meaning,motivation,relationships,stress
0,E7atG91PDhaT402pE9xmzfZXlOP2,0,0,0,0,0,0,0,0
1,E7atG91PDhaT402pE9xmzfZXlOP2,0,0,0,0,0,0,0,0
2,FkpxsnbsaeX8PCN16qUGAD8TC9v1,0,0,0,0,0,0,0,0
3,duj0o4xwzhavM5qPwmRRummkulH3,0,0,0,0,0,0,0,0
4,zxTbZavPGmZiSa9CtWKa96C1EAA2,0,0,0,0,0,0,0,0
5,zxTbZavPGmZiSa9CtWKa96C1EAA2,0,0,0,0,0,0,0,0
6,zxTbZavPGmZiSa9CtWKa96C1EAA2,0,0,0,0,0,0,0,0
7,zxTbZavPGmZiSa9CtWKa96C1EAA2,0,0,0,0,0,0,0,0
8,zxTbZavPGmZiSa9CtWKa96C1EAA2,0,0,0,0,0,0,0,0
9,zxTbZavPGmZiSa9CtWKa96C1EAA2,0,0,0,0,0,0,0,0
10,zxTbZavPGmZiSa9CtWKa96C1EAA2,0,0,0,0,0,0,0,0
11,zxTbZavPGmZiSa9CtWKa96C1EAA2,0,0,0,0,0,0,0,0
12,zxTbZavPGmZiSa9CtWKa96C1EAA2,0,0,0,0,0,0,0,0
13,zxTbZavPGmZiSa9CtWKa96C1EAA2,0,0,0,0,0,0,0,0
14,zxTbZavPGmZiSa9CtWKa96C1EAA2,0,0,0,0,0,0,0,0
15,zxTbZavPGmZiSa9CtWKa96C1EAA2,0,0,0,0,0,0,0,0
16,zxTbZavPGmZiSa9CtWKa96C1EAA2,0,0,0,0,0,0,0,0
17,zxTbZavPGmZiSa9CtWKa96C1EAA2,0,0,0,0,0,0,0,0
18,zxTbZavPGmZiSa9CtWKa96C1EAA2,0,0,0,0,0,0,0,0
19,zxTbZavPGmZiSa9CtWKa96C1EAA2,0,0,0,0,0,0,0,0
20,zxTbZavPGmZiSa9CtWKa96C1EAA2,0,0,0,0,0,0,0,0
21,zxTbZavPGmZiSa9CtWKa96C1EAA2,0,0,0,0,0,0,0,0
22,zxTbZavPGmZiSa9CtWKa96C1EAA2,0,0,0,0,0,0,0,0
23,zxTbZavPGmZiSa9CtWKa96C1EAA2,0,0,0,0,0,0,0,0
24,zxTbZavPGmZiSa9CtWKa96C1EAA2,0,0,0,0,0,0,0,0
25,zxTbZavPGmZiSa9CtWKa96C1EAA2,0,0,0,0,0,0,0,0
26,zxTbZavPGmZiSa9CtWKa96C1EAA2,0,0,0,0,0,0,0,0
27,zxTbZavPGmZiSa9CtWKa96C1EAA2,0,0,0,0,0,0,0,0
28,VA16DtCQoPTTNSNJyjcXijaR2ek1,1,0,1,0,0,0,0,1
29,T942BvfXrDOpYC7HBzdh00sWbCm2,1,0,0,0,0,0,1,1
30,rcR1tzCQaBXDTvU3j2PbaMAcKS82,0,0,0,1,1,0,0,1
31,FkpxsnbsaeX8PCN16qUGAD8TC9v1,0,0,0,0,1,0,1,1
